freq,indic_ur,cities\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,DE2001I,CZ011F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	98 	98 	98 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ013F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	: 	: 	: u	: 	: 	92 	92 	92 	92 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,CZ014F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99 	: 	: 	: u	: 	: 	98 	98 	98 	98 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,DE2001I,DE	: 	93 	92 	: 	92 	91 	91 	91 	91 	91 	91 	91 	91 	: 	91 	91 	91 	91 	91 	91 	91 	91 	93 	92 	91 	91 	89 	89 e	88 e	: 	: 	: 	: 
A,DE2001I,DE001F	: 	: 	92 	: 	: 	: 	90 	: 	: 	: 	90 	: 	: 	: 	90 	90 	90 	90 	90 	90 	90 	90 	93 	91 	: 	89 	88 	87 e	87 e	86 	: 	: 	83 
A,DE2001I,DE002F	: 	: 	90 	: 	: 	: 	89 	: 	: 	: 	89 	: 	: 	: 	90 	90 	90 	90 	90 	90 	90 	90 	93 	91 	: 	90 	89 	88 e	87 e	87 	: 	: 	86 
A,DE2001I,DE003F	: 	: 	83 	: 	: 	: 	82 	: 	: 	: 	83 	: 	: 	: 	83 	83 	83 	83 	83 	83 	84 	83 	84 	84 	: 	82 	81 	80 e	80 e	79 	: 	: 	79 
A,DE2001I,DE004F	: 	: 	86 	: 	: 	: 	85 	: 	: 	: 	85 	: 	: 	: 	86 	86 	87 	87 	87 	87 	87 	87 	88 	87 	: 	86 	85 	84 e	84 e	84 	: 	: 	84 
A,DE2001I,DE005F	: 	: 	82 	: 	: 	: 	83 	: 	: 	: 	84 	: 	: 	: 	85 	85 	85 	85 	85 	85 	85 	85 	86 	83 	: 	82 	81 	80 e	79 e	79 	: 	: 	76 
A,DE2001I,DE006F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83 
A,DE2001I,DE007F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	83 	: 	: 	83 	84 	84 	84 	84 	84 	84 	84 	86 	85 	: 	84 	83 	82 e	81 e	81 	: 	: 	79 
A,DE2001I,DE008F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	96 	96 	96 	96 	96 	96 	96 	96 	99 	97 	: 	96 	95 	94 e	94 e	93 	: 	: 	91 
A,DE2001I,DE009F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	97 	97 	97 	97 	97 	97 	97 	97 	99 	98 	: 	97 	96 	96 e	96 e	95 	: 	: 	91 
A,DE2001I,DE011F	: 	: 	87 	: 	: 	: 	86 	: 	: 	: 	86 	: 	: 	: 	86 	87 	87 	87 	87 	87 	87 	87 	88 	88 	: 	87 	86 	86 e	85 e	85 	: 	: 	84 
A,DE2001I,DE012F	: 	: 	92 	: 	: 	: 	90 	: 	: 	: 	91 	: 	: 	: 	91 	91 	91 	91 	91 	91 	91 	91 	92 	92 	: 	91 	90 	89 e	88 e	87 	: 	: 	84 
A,DE2001I,DE013F	: 	: 	91 	: 	: 	: 	89 	: 	: 	: 	90 	: 	: 	: 	90 	90 	90 	90 	90 	90 	90 	90 	92 	91 	: 	90 	89 	88 e	87 e	87 	: 	: 	85 
A,DE2001I,DE014F	: 	: 	89 	: 	: 	: 	88 	: 	: 	: 	88 	: 	: 	: 	88 	88 	88 	88 	88 	89 	89 	89 	90 	89 	: 	88 	86 	86 e	85 e	84 	: 	: 	83 
A,DE2001I,DE016F	: 	: 	88 	: 	: 	: 	87 	: 	: 	: 	: 	87 	: 	: 	87 	88 	88 	88 	88 	88 	88 	88 	89 	89 	: 	88 	87 	86 e	86 e	85 	: 	: 	81 
A,DE2001I,DE017F	: 	: 	: 	: 	: 	: 	55 	: 	: 	: 	98 	: 	: 	: 	97 	97 	97 	97 	97 	97 	97 	97 	97 	97 	: 	96 	95 	94 e	93 e	93 	: 	: 	87 
A,DE2001I,DE018F	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	98 	98 	98 	98 	98 	98 	98 	98 	98 	97 	: 	97 	96 	95 e	94 e	94 	: 	: 	90 
A,DE2001I,DE019F	: 	: 	86 	: 	: 	: 	85 	: 	: 	: 	84 	: 	: 	: 	84 	84 	84 	84 	84 	84 	84 	85 	87 	87 	: 	86 	85 	85 e	84 e	83 	: 	: 	82 
A,DE2001I,DE020F	: 	: 	95 	: 	: 	: 	92 	: 	: 	: 	93 	: 	: 	: 	93 	93 	93 	93 	93 	93 	93 	93 	96 	95 	: 	94 	93 	93 be	93 e	92 	: 	: 	88 
A,DE2001I,DE023F	: 	: 	88 	: 	: 	: 	87 	: 	: 	: 	88 	: 	: 	: 	88 	88 	88 	88 	88 	88 	88 	88 	90 	88 	: 	87 	85 	85 e	84 e	84 	: 	: 	85 
A,DE2001I,DE024F	: 	: 	95 	: 	: 	: 	94 	: 	: 	: 	94 	: 	: 	: 	94 	94 	93 	93 	93 	93 	93 	93 	93 	93 	: 	91 	88 	89 e	89 e	88 	: 	: 	86 
